id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
29264,7,17,0,1246,Albert Rupprecht hat jetzt das Wort für die CDU/ CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29266,7,17,0,1248,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29300,7,17,0,1282,"Herr Kollege, Sie müssen bitte zum Ende kommen.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29302,7,17,0,1284,Herr Kollege!,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29306,7,17,0,1288,Swen Schulz hat jetzt das Wort für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29308,7,17,0,1290,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29351,7,17,0,1333,Anette Hübinger spricht für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29353,7,17,0,1335,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29379,7,17,0,1361,Die Kollegin Monika Grütters hat das Wort für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29381,7,17,0,1363,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29410,7,17,0,1392,"Die Aktuelle Stunde ist damit beendet.

Ich rufe den Tagesordnungspunkt 6 auf:

Beratung des Antrags der Bundesregierung

Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der United Nations Interim Force in Lebanon (UNIFIL) auf Grundlage der Resolution 1701 (2006) vom 11. Au-gust 2006 und folgender Resolutionen, zuletzt 1884 (2009) vom 27. August 2009 des Sicherheitsrates der Vereinten Nationen

- Drucksache 17/40 -

Überweisungsvorschlag:

Auswärtiger Ausschuss (f)

Rechtsausschuss

Verteidigungsausschuss

Ausschuss für Menschenrechte und humanitäre Hilfe

Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung

Ausschuss für die Angelegenheiten der Europäischen Union

Haushaltsausschuss gemäß § 96 GO

Es ist zwischen den Fraktionen verabredet, hierzu eine Dreiviertelstunde zu debattieren. - Dazu höre ich keinen Widerspruch. Dann ist das so beschlossen.

Das Wort hat der Außenminister, Dr. Guido Westerwelle.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29412,7,17,0,1394,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32766,9,17,0,1277,Für die FDP-Fraktion hat die Kollegin Sibylle Laurischk das Wort.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32768,9,17,0,1279,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32775,9,17,0,1286,Die Kollegin Sevim Daðdelen hat das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32777,9,17,0,1288,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32790,9,17,0,1301,Jetzt hat Marcus Weinberg das Wort für die CDU/ CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32792,9,17,0,1303,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
