nachname;vorname;partei;website;feed;fullname;wikidataq;wikidataurl;wikidataname;distance;wikidatawebsite;distance
Freitag;Dagmar;SPD;http://www.dagmar-freitag.de;1;Dagmar Freitag;Q1157275;https://www.wikidata.org/wiki/Q1157275;Dagmar Freitag;0;http://www.dagmar-freitag.de/;0
Freudenstein;Astrid;CSU;https://www.astrid-freudenstein.de;1;Astrid Freudenstein;Q15434482;https://www.wikidata.org/wiki/Q15434482;Astrid Freudenstein;0;https://www.astrid-freudenstein.de;0
Friedrich;Hans-Peter;CSU;https://www.hans-peter-friedrich.de;1;Hans-Peter Friedrich;Q66144;https://www.wikidata.org/wiki/Q66144;Hans-Peter Friedrich;0;https://www.hans-peter-friedrich.de;0
Frieser;Michael;CSU;http://www.michael-frieser.de;1;Michael Frieser;Q1566498;https://www.wikidata.org/wiki/Q1566498;Michael Frieser;0;http://www.michael-frieser.de/;0
Fuchs;Michael;CDU;http://www.cdu-fuchs.de;;Michael Fuchs;Q107816;https://www.wikidata.org/wiki/Q107816;Michael Fuchs;0;http://www.cdu-fuchs.de/;0
Fuchtel;Hans-Joachim;CDU;http://www.fuchtel.de;;Hans-Joachim Fuchtel;Q1577305;https://www.wikidata.org/wiki/Q1577305;Hans-Joachim Fuchtel;0;http://www.fuchtel.de/;0
Funk;Alexander;CDU;http://www.alex-funk.de;;Alexander Funk;Q2642144;https://www.wikidata.org/wiki/Q2642144;Alexander Funk;0;http://www.alex-funk.de/;0
Gabriel;Sigmar;SPD;https://sigmar-gabriel.de;1;Sigmar Gabriel;Q160902;https://www.wikidata.org/wiki/Q160902;Sigmar Gabriel;0;https://sigmar-gabriel.de;0
Gädechens;Ingo;CDU;http://www.ingo-gaedechens.de;;Ingo Gädechens;Q1663123;https://www.wikidata.org/wiki/Q1663123;Ingo Gädechens;0;http://www.ingo-gaedechens.de;0
Gambke;Thomas;GRÜNE;http://www.t-gambke.de;;Thomas Gambke;Q1395221;https://www.wikidata.org/wiki/Q1395221;Thomas Gambke;0;http://www.t-gambke.de/;0
Gastel;Matthias;GRÜNE;http://www.matthias-gastel.de;1;Matthias Gastel;Q15795921;https://www.wikidata.org/wiki/Q15795921;Matthias Gastel;0;http://www.matthias-gastel.de/;0
Gauweiler;Peter;CSU;http://www.peter-gauweiler.de;;Peter Gauweiler;Q90842;https://www.wikidata.org/wiki/Q90842;Peter Gauweiler;0;http://www.peter-gauweiler.de/;0
Gebhart;Thomas;CDU;http://www.thomas-gebhart.de;;Thomas Gebhart;Q2424160;https://www.wikidata.org/wiki/Q2424160;Thomas Gebhart;0;http://www.thomas-gebhart.de/;0
Gehrcke;Wolfgang;DIE LINKE;http://www.wolfgang-gehrcke.de;;Wolfgang Gehrcke;Q99456;https://www.wikidata.org/wiki/Q99456;Wolfgang Gehrcke;0;http://www.wolfgang-gehrcke.de/;0
Gehring;Kai;GRÜNE;http://www.kai-gehring.de;;Kai Gehring;Q109560;https://www.wikidata.org/wiki/Q109560;Kai Gehring;0;http://www.kai-gehring.de/;0
Gerdes;Michael;SPD;http://www.michaelgerdes-mdb.de;1;Michael Gerdes;Q1927537;https://www.wikidata.org/wiki/Q1927537;Michael Gerdes;0;http://www.michaelgerdes-mdb.de/;0
Gerig;Alois;CDU;http://www.alois-gerig.de;;Alois Gerig;Q2650232;https://www.wikidata.org/wiki/Q2650232;Alois Gerig;0;http://www.alois-gerig.de/;0
Gerster;Martin;SPD;http://martin-gerster.de;1;Martin Gerster;Q1710147;https://www.wikidata.org/wiki/Q1710147;Martin Gerster;0;http://martin-gerster.de/;0
Gienger;Eberhard;CDU;http://www.gienger-mdb.de;;Eberhard Gienger;Q84348;https://www.wikidata.org/wiki/Q84348;Eberhard Gienger;0;http://www.gienger-mdb.de/;0
Giousouf;Cemile;CDU;http://cemile-giousouf.de;;Cemile Giousouf;Q14943152;https://www.wikidata.org/wiki/Q14943152;Cemile Giousouf;0;http://cemile-giousouf.de/;0
Gleicke;Iris;SPD;http://www.iris-gleicke.de;1;Iris Gleicke;Q1672733;https://www.wikidata.org/wiki/Q1672733;Iris Gleicke;0;http://www.iris-gleicke.de/;0
Glöckner;Angelika;SPD;http://www.angelika-gloeckner.info;1;Angelika Glöckner;Q19834635;https://www.wikidata.org/wiki/Q19834635;Angelika Glöckner;0;http://www.angelika-gloeckner.info/;0
Gohlke;Nicole;DIE LINKE;http://www.nicole-gohlke.de;1;Nicole Gohlke;Q1987000;https://www.wikidata.org/wiki/Q1987000;Nicole Gohlke;0;http://www.nicole-gohlke.de/;0
Golze;Diana;DIE LINKE;http://www.diana-golze.de;;Diana Golze;Q1208819;https://www.wikidata.org/wiki/Q1208819;Diana Golze;0;http://www.diana-golze.de/;0
Göppel;Josef;CSU;http://www.goeppel.de;1;Josef Göppel;Q1556850;https://www.wikidata.org/wiki/Q1556850;Josef Göppel;0;http://www.goeppel.de/;0
